@RELATION BooksTrain

@ATTRIBUTE Text string
@ATTRIBUTE sentiments real

@DATA


'is_ridiculous',1
'me',1
'who_wants',1
'or',1
'of_law',1
'or_law',1
'becomes_a',1
'of',3
'was',1
'of_lawyer',1
'this',2
'be',1
'want_to',1
'book_is',1
'be_a',1
'it_shadows',1
'even',1
'waste_of#',1
'professional_most',1
'field',1
'but_this',1
'school',1
'professionals',1
'this_book',2
'give',1
'a_guy',1
'become_i',1
'guy',1
'law_school',1
'most_people',1
'law_field',1
'when',1
'not_everyone',1
'the_professionals',1
'money_even',1
'it_was',1
'but',1
'new',1
'clerk',1
'law_professional',1
'law_clerk',1
'lawyer_or',1
'book',2
'type',1
'six-figure-paid_lawyer',1
'people',1
'i_understand',1
'me_a',1
'of_money',1
'shadows',1
'become',1
'it',2
'is',1
'only',1
'want',1
'in',2
'six-figure-paid',1
'the_type',1
'who',1
'in_the',1
'in_this',1
'right',1
'everyone_becomes',1
'shadows_a',1
'break',1
'most',1
'to',2
'a_law',1
'law',4
'the_law',1
'waste',1
'type_of',1
'clerk_give',1
'i',1
'when_it',1
'aren\'t',1
'to_only',1
'a',4
'lawyer_right',1
'not',1
'only_be',1
'even_when',1
'field_in',1
'wants',1
'wants_to',1
'a_six-figure-paid',1
'a_break',1
'understand',1
'the',3
'right_out',1
'lawyer',2
'professional',1
'ridiculous_it',1
'professionals_in',1
'to_become',1
'out',1
'money',1
'out_of',1
'understand_not',1
'guy_who',1
'give_me',1
'aren\'t_the',1
'school_but',1
'was_new',1
'becomes',1
'book_aren\'t',1
'everyone',1
'ridiculous',1
'people_want',1
'#label#',1.0
'stand',1
'to_jackie',1
'reason',1
'whether',1
'are',2
'in',3
'so',1
'liege',1
'she_is',1
'i_was',1
'her',2
'whether_she',1
'wondered',1
'reappears',1
'about_jewish',1
'while_i',1
'addicted',1
'are_so',1
'as',2
'always_represent',1
'always_writing',1
'really',1
'my',1
'bitchy',1
'london_just',1
'is_one#',1
'different',1
'normally',1
'just',1
'different_her',1
'she',2
'simenon\'s',1
'reason_although',1
'represent',1
'trash_why',1
'ultimate_heartthrob',1
'recent_sequel',1
'as_a',1
'as_simenon\'s',1
'la',1
'cant',1
'will',1
'student',1
'student_i',1
'and',1
'are_her',1
'is_always',1
'in_the',1
'one',1
'set_in',1
'trash',1
'the_recent',1
'psychopath_and',1
'was_addicted',1
'set',1
'hollywood_she',1
'jewish_north',1
'paris_is',1
'paris',1
'while',1
'although_set',1
'was',1
'is',3
'why',1
'really_liege',1
'her_characters',1
'she_reappears',1
'so_bitchy',1
'sequel',1
'ultimate',1
'although',1
'represent_my',1
'collins',1
'nymphomaniac_will',1
'always',2
'north_london',2
'books_different',1
'characters_are',1
'hollywood',1
'nymphomaniac',1
'i_wondered',1
'writing',1
'why_are',1
'jackie',1
'to',1
'germaine_psychopath',1
'one_reason',1
'london',2
'simenon\'s_paris',1
'a_student',1
'i',3
'about',1
'in_la',1
'books',1
'liege_gina',1
'a',1
'cant_stand',1
'jackie_collins',1
'i_normally',1
'psychopath',1
'my_ultimate',1
'and_nymphomaniac',1
'north',2
'the',1
'gina',1
'bitchy_is',1
'will_always',1
'london_in',1
